 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
  0.0854  0.1585  0.2224  0.2707  0.3035  0.3242  0.3364  0.3406  0.3420  0.3465
  0.3584  0.3768  0.3917  0.3979  0.3965  0.3825  0.3755  0.3684  0.3525  0.3272
  0.2933  0.2524  0.2064  0.1567  0.1039  0.0483 -0.0093 -0.0686 -0.1293 -0.1918
 -0.2562
  0.0926  0.1765  0.2477  0.3070  0.3537  0.3879  0.4115  0.4260  0.4336  0.4365
  0.4365  0.4352  0.4329  0.4277  0.4197  0.3962  0.3818  0.3711  0.3535  0.3275
  0.2935  0.2526  0.2063  0.1563  0.1030  0.0470 -0.0113 -0.0711 -0.1321 -0.1944
 -0.2578
  0.1001  0.1877  0.2627  0.3261  0.3781  0.4191  0.4496  0.4709  0.4844  0.4913
  0.4922  0.4884  0.4813  0.4709  0.4574  0.4188  0.3919  0.3763  0.3568  0.3297
  0.2954  0.2545  0.2081  0.1577  0.1041  0.0476 -0.0114 -0.0719 -0.1334 -0.1957
 -0.2556
  0.1084  0.1964  0.2742  0.3398  0.3940  0.4373  0.4706  0.4947  0.5105  0.5192
  0.5218  0.5191  0.5123  0.5022  0.5096  0.4503  0.4058  0.3840  0.3624
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  z   
 -1.0897 -1.1549 -1.1333 -1.0408 -0.8924 -0.7006 -0.4758 -0.2270  0.0199  0.1926
  0.2893  0.3316  0.3498  0.3604  0.3701  0.3955  0.4150  0.4220  0.4153
 -0.8908 -0.9517 -1.0277 -1.0746 -1.0491 -0.9162 -0.6483 -0.2820 -0.0094  0.1782
  0.2826  0.3290  0.3479  0.3571  0.3649  0.3872  0.4048  0.4100  0.4026  0.3838
 -0.6881 -0.7389 -0.7866 -0.8184 -0.8172 -0.7577 -0.6026 -0.3236 -0.0427  0.1574
  0.2738  0.3282  0.3500  0.3587  0.3644  0.3823  0.3980  0.4020  0.3927  0.3719
  0.3415
