 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.3321 -0.2101 -0.1191 -0.0482  0.0089  0.1128  0.1823  0.2270  0.2501  0.2554
  0.2460
 -1.7307 -1.6012 -1.4935 -1.4007 -1.3136 -1.2194 -1.0983 -0.9144 -0.6970 -0.4951
 -0.3340 -0.2133 -0.1221 -0.0510  0.0060  0.1077  0.1740  0.2161  0.2375  0.2423
  0.2340  0.2149
 -1.5952 -1.4505 -1.3278 -1.2236 -1.1324 -1.0463 -0.9532 -0.8243 -0.6544 -0.4813
 -0.3324 -0.2154 -0.1251 -0.0540  0.0033  0.1039  0.1677  0.2076  0.2277  0.2319
  0.2241  0.2063  0.1807  0.1497
 -1.4249 -1.2969 -1.1829 -1.0784 -0.9833 -0.8962 -0.8131 -0.7207 -0.5958 -0.4546
 -0.3230 -0.2132 -0.1256 -0.0555  0.0015  0.1016  0.1634  0.2014  0.2205  0.2242
  0.2163  0.1991  0.1743  0.1439  0.1093  0.0707  0.0276 -0.0209 -0.0731 -0.1237
 -1.2962 -1.1352 -1.0068 -0.9055 -0.8226 -0.7496 -0.6784 -0.6052 -0.5187 -0.4119
 -0.3020 -0.2037 -0.1215 -0.0541  0.0017  0.1011  0.1614  0.1976  0.2157  0.2189
  0.2106  0.1934  0.1687  0.1385  0.1046  0.0675  0.0272 -0.0166 -0.0653 -0.1176
 -0.1690
 -1.2546 -1.0699 -0.9122 -0.7823 -0.6773 -0.5921 -0.5206 -0.4582 -0.3973 -0.3291
 -0.2542 -0.1790 -0.1090 -0.0476  0.0051  0.1027  0.1618  0.1964  0.2134  0.2162
  0.2074  0.1896  0.1645  0.1337  0.0994  0.0627  0.0237 -0.0175 -0.0620 -0.1106
 -0.1634
 -1.2519 -1.0542 -0.8801 -0.7299 -0.6036 -0.4995 -0.4137 -0.3409 -0.2765 -0.2152
 -0.1570 -0.1060 -0.0616 -0.0207  0.0191  0.1075  0.1654  0.1983  0.2139  0.2160
  0.2065  0.1879  0.1619  0.1300  0.0944  0.0569  0.0179 -0.0232 -0.0665 -0.1116
 -0.1583
 -1.2759 -1.0685 -0.8841 -0.7210 -0.5798 -0.4600 -0.3603 -0.2773 -0.2072 -0.1453
 -0.0886 -0.0380  0.0040  0.0368  0.0628  0.1190  0.1710  0.2028  0.2172  0.2185
  0.2085  0.1892  0.1622  0.1292  0.0921  0.0530  0.0129 -0.0278 -0.0693 -0.1125
 -0.1574
 -1.3102 -1.0978 -0.9054 -0.7342 -0.5828 -0.4516 -0.3403 -0.2474 -0.1701 -0.1052
 -0.0492  0.0000  0.0429  0.0787  0.1073  0.1519  0.1830  0.2104  0.2234  0.2238
  0.2134  0.1935  0.1657  0.1316  0.0929  0.0517  0.0096 -0.0326 -0.0749 -0.1175
 -0.1607
 -1.3562 -1.1345 -0.9362 -0.7583 -0.5989 -0.4597 -0.3396 -0.2382 -0.1539 -0.0841
 -0.0258  0.0236  0.0659  0.1022  0.1526  0.2062  0.2014  0.2211  0.2325
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  i   
 -2.5618 -2.5250 -2.5156 -2.4823 -2.3747 -2.1522 -1.7827 -1.2973 -0.8881 -0.5773
 -0.3649 -0.2231 -0.1221 -0.0450  0.0168  0.1307  0.2107  0.2646  0.2941
 -2.3090 -2.2570 -2.2048 -2.1475 -2.0590 -1.9038 -1.6400 -1.2450 -0.8659 -0.5687
 -0.3606 -0.2196 -0.1194 -0.0434  0.0171  0.1266  0.2010  0.2500  0.2767  0.2842
 -2.0887 -2.0091 -1.9437 -1.8803 -1.8020 -1.6845 -1.4922 -1.1892 -0.8584 -0.5769
 -0.3695 -0.2254 -0.1231 -0.0462  0.0144  0.1218  0.1925  0.2381  0.2623  0.2688
  0.2610
 -1.9069 -1.8007 -1.7144 -1.6400 -1.5653 -1.4735 -1.3386 -1.1191 -0.8456 -0.5878
 -0.3837 -0.2361 -0.1303 -0.0514  0.0103  0.1172  0.1853  0.2284  0.2509  0.2567
  0.2496  0.2317
 -1.7618 -1.6317 -1.5239 -1.4337 -1.3537 -1.2731 -1.1751 -1.0256 -0.8146 -0.5903
 -0.3964 -0.2480 -0.1390 -0.0576  0.0056  0.1131  0.1794  0.2207  0.2421  0.2473
  0.2403  0.2237  0.1987  0.1677
 -1.5845 -1.4872 -1.3686 -1.2650 -1.1748 -1.0929 -1.0107 -0.9087 -0.7584 -0.5761
 -0.4013 -0.2572 -0.1471 -0.0637  0.0010  0.1102  0.1752  0.2148  0.2353  0.2402
  0.2331  0.2170  0.1931  0.1629  0.1277  0.0877  0.0427 -0.0072 -0.0604 -0.1118
 -1.4199 -1.2907 -1.1896 -1.1020 -1.0188 -0.9378 -0.8589 -0.7786 -0.6763 -0.5399
 -0.3925 -0.2598 -0.1522 -0.0684 -0.0027  0.1084  0.1728  0.2109  0.2306  0.2351
  0.2279  0.2118  0.1883  0.1587  0.1244  0.0864  0.0448 -0.0011 -0.0516 -0.1050
 -0.1570
 -1.3307 -1.1616 -1.0234 -0.9151 -0.8301 -0.7600 -0.6971 -0.6340 -0.5640 -0.4732
 -0.3626 -0.2503 -0.1513 -0.0699 -0.0045  0.1081  0.1726  0.2093  0.2279  0.2322
  0.2246  0.2082  0.1846  0.1549  0.1208  0.0833  0.0430  0.0001 -0.0464 -0.0970
 -0.1507
 -1.3078 -1.1184 -0.9539 -0.8154 -0.7028 -0.6122 -0.5373 -0.4727 -0.4119 -0.3483
 -0.2763 -0.2011 -0.1278 -0.0601 -0.0004  0.1102  0.1751  0.2107  0.2279  0.2315
  0.2234  0.2063  0.1820  0.1519  0.1171  0.0792  0.0391 -0.0027 -0.0468 -0.0940
 -0.1447
 -1.3235 -1.1208 -0.9414 -0.7838 -0.6493 -0.5373 -0.4451 -0.3679 -0.3004 -0.2376
 -0.1751 -0.1143 -0.0601 -0.0139  0.0266  0.1146  0.1791  0.2143  0.2304  0.2331
  0.2247  0.2070  0.1820  0.1512  0.1156  0.0767  0.0358 -0.0063 -0.0497 -0.0946
 -0.1416
 -1.3628 -1.1503 -0.9587 -0.7883 -0.6389 -0.5105 -0.4023 -0.3120 -0.2361 -0.1702
 -0.1102 -0.0539 -0.0028  0.0408  0.0762  0.1383  0.1863  0.2206  0.2358  0.2375
  0.2286  0.2104  0.1847  0.1529  0.1164  0.0762  0.0339 -0.0094 -0.0533 -0.0979
 -0.1413
 -1.4187 -1.1962 -0.9949 -0.8132 -0.6529 -0.5124 -0.3915 -0.2893 -0.2038 -0.1321
 -0.0706 -0.0166  0.0317  0.0743  0.1484  0.1813  0.1967  0.2296  0.2441
