 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -4.6729 -4.5000 -4.3444 -4.1919 -4.0390 -3.5934 -3.0878 -2.6264 -2.2255 -1.8753
 -1.5659 -1.2952 -1.0691 -0.8928 -0.7626 -0.6663 -0.5928 -0.5342 -0.4865 -0.4454
 -0.4155
-11.4308-10.4334 -9.3836 -8.3643 -7.4432 -6.6625 -6.0339 -5.5469 -5.1742 -4.8851
 -4.6505 -4.4485 -4.2672 -4.0999 -3.9429 -3.5774 -3.1584 -2.6971 -2.2869 -1.9312
 -1.6190 -1.3460 -1.1170 -0.9365 -0.8029 -0.7067 -0.6365 -0.5834 -0.5421 -0.5096
 -0.4825
-11.7072-10.8304 -9.8680 -8.8906 -7.9630 -7.1301 -6.4178 -5.8328 -5.3669 -5.0001
 -4.7082 -4.4686 -4.2621 -4.0754 -3.9008 -3.5143 -3.1608 -2.7719 -2.3630
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F390M
-11.0592-10.2053 -9.2891 -8.4051 -7.6405 -7.0859 -6.7301 -6.4553 -6.2165 -6.0180
 -5.8233 -5.6304 -5.4413 -5.2551 -5.0715 -4.6138 -4.1351 -3.6341 -3.1155
-10.1672 -9.7181 -9.0882 -8.3237 -7.5417 -6.9020 -6.4806 -6.1686 -5.9125 -5.6988
 -5.4942 -5.2954 -5.1019 -4.9126 -4.7260 -4.2674 -3.8079 -3.3354 -2.8442 -2.3401
 -9.4112 -9.1059 -8.7062 -8.2149 -7.5529 -6.8599 -6.3351 -5.9697 -5.6885 -5.4542
 -5.2407 -5.0362 -4.8391 -4.6477 -4.4603 -4.0036 -3.5529 -3.0997 -2.6431 -2.1914
 -1.7601
 -8.8301 -8.3507 -8.1835 -7.9010 -7.5041 -6.9301 -6.3287 -5.8737 -5.5463 -5.2852
 -5.0605 -4.8491 -4.6471 -4.4523 -4.2631 -3.8072 -3.3639 -2.9262 -2.4964 -2.0821
 -1.6893 -1.3353
 -8.6184 -7.8549 -7.5186 -7.4162 -7.2260 -6.9072 -6.4235 -5.9014 -5.4951 -5.1940
 -4.9492 -4.7287 -4.5202 -4.3206 -4.1278 -3.6686 -3.2290 -2.8027 -2.3928 -2.0055
 -1.6424 -1.3118 -1.0373 -0.8227
 -8.9004 -7.8779 -7.2150 -6.8642 -6.7388 -6.6303 -6.3912 -6.0043 -5.5536 -5.1839
 -4.9017 -4.6680 -4.4518 -4.2462 -4.0485 -3.5816 -3.1413 -2.7215 -2.3251 -1.9568
 -1.6160 -1.3050 -1.0404 -0.8334 -0.6711 -0.5374 -0.4214 -0.3159 -0.2206 -0.1412
 -9.4351 -8.2022 -7.3024 -6.7071 -6.3494 -6.1641 -6.0664 -5.9203 -5.6409 -5.2689
 -4.9264 -4.6600 -4.4336 -4.2214 -4.0186 -3.5414 -3.0962 -2.6778 -2.2894 -1.9333
 -1.6078 -1.3121 -1.0565 -0.8535 -0.6976 -0.5733 -0.4694 -0.3799 -0.3005 -0.2291
 -0.1681
-10.0788 -8.7602 -7.6551 -6.8496 -6.2999 -5.9409 -5.7126 -5.5659 -5.4492 -5.2834
 -5.0196 -4.7115 -4.4578 -4.2377 -4.0294 -3.5417 -3.0887 -2.6671 -2.2817 -1.9325
 -1.6162 -1.3315 -1.0833 -0.8829 -0.7301 -0.6121 -0.5171 -0.4374 -0.3697 -0.3119
 -0.2614
-10.8764 -9.4179 -8.2049 -7.2135 -6.4818 -5.9656 -5.6090 -5.3592 -5.1744 -5.0287
 -4.8959 -4.7358 -4.5114 -4.2815 -4.0681 -3.5711 -3.1089 -2.6807 -2.2935 -1.9469
 -1.6357 -1.3571 -1.1148 -0.9168 -0.7656 -0.6517 -0.5633 -0.4918 -0.4322 -0.3828
 -0.3428
-11.3594-10.0506 -8.8549 -7.7621 -6.8682 -6.1919 -5.6996 -5.3442 -5.0828 -4.8784
 -4.7088 -4.5626 -4.4269 -4.2713 -4.1006 -3.6301 -3.1611 -2.7256 -2.3332 -1.9851
 -1.6743 -1.3973 -1.1571 -0.9593 -0.8071 -0.6944 -0.6100 -0.5446 -0.4923 -0.4500
 -0.4158
-11.5606-10.5268 -9.4641 -8.3768 -7.3950 -6.5854 -5.9558 -5.4821 -5.1283 -4.8590
 -4.6443 -4.4630 -4.3044 -4.1612 -4.0191 -3.6612 -3.2312 -2.7898 -2.3907 -2.0378
 -1.7244 -1.4459 -1.2043 -1.0046 -0.8498 -0.7358 -0.6534 -0.5924 -0.5460 -0.5101
 -0.4811
-11.4799-10.8465 -9.9125 -8.9369 -7.9630 -7.0873 -6.3491 -5.7605 -5.3038 -4.9514
 -4.6765 -4.4545 -4.2662 -4.1000 -3.8236 -3.6644 -3.3192 -2.8733 -2.4660
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F390M
-11.2840-10.0616 -9.0319 -8.1763 -7.4619 -6.9784 -6.6581 -6.4190 -6.2058 -6.0299
 -5.8544 -5.6793 -5.5057 -5.3338 -5.1632 -4.7355 -4.2894 -3.8244 -3.3447
-10.4611 -9.7789 -8.9743 -8.0953 -7.3394 -6.7654 -6.3851 -6.1168 -5.8900 -5.7032
 -5.5217 -5.3438 -5.1687 -4.9958 -4.8238 -4.3962 -3.9646 -3.5207 -3.0585 -2.5761
