 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  1.6159  1.4761  1.3407  1.2095  1.0821  0.9579  0.8367  0.7188  0.6046  0.4957
  2.9635  2.9159  2.8751  2.8463  2.8323  2.8309  2.8368  2.8412  2.8365  2.8179
  2.7859  2.7429  2.6912  2.6325  2.5684  2.3973  2.2275  2.0646  1.9087  1.7592
  1.6152  1.4761  1.3417  1.2117  1.0856  0.9632  0.8438  0.7276  0.6144  0.5048
  0.4000
  2.9695  2.9215  2.8754  2.8337  2.8001  2.7768  2.7627  2.7539  2.7464  2.7377
  2.7245  2.7011  2.6645  2.6161  2.5593  2.3962  2.2274  2.0644  1.9083  1.7588
  1.6151  1.4765  1.3426  1.2132  1.0882  0.9669  0.8490  0.7343  0.6226  0.5138
  0.4084
  2.9673  2.9233  2.8783  2.8338  2.7919  2.7550  2.7247  2.7007  2.6798  2.6589
  2.6377  2.6172  2.5964  2.5700  2.5326  2.3920  2.2259  2.0629  1.9066  1.7569
  1.6132  1.4747  1.3411  1.2119  1.0872  0.9665  0.8495  0.7360  0.6255  0.5180
  0.4133
  2.9471  2.9133  2.8749  2.8335  2.7910  2.7492  2.7099  2.6746  2.6431  2.6140
  2.5850  2.5553  2.5257  2.4977  2.4701  2.3752  2.2264  2.0646  1.9084  1.7587
  1.6151  1.4768  1.3433  1.2143  1.0896  0.9692  0.8528  0.7400  0.6305  0.5241
  0.4205
  2.8945  2.8779  2.8527  2.8212  2.7844  2.7446  2.7037  2.6635  2.6251  2.5888
