 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.6332  2.5752  2.5157  2.4558  2.3959  2.2457  2.0959  1.9489  1.8044  1.6620
  1.5223  1.3854  1.2513  1.1202  0.9921
  2.6318  2.6758  2.7156  2.7461  2.7653  2.7725  2.7670  2.7485  2.7169  2.6752
  2.6260  2.5719  2.5145  2.4555  2.3958  2.2450  2.0941  1.9462  1.8019  1.6605
  1.5223  1.3871  1.2550  1.1259  0.9998  0.8766
  2.5624  2.5603  2.5817  2.6220  2.6683  2.7019  2.7145  2.7086  2.6875  2.6542
  2.6120  2.5632  2.5097  2.4531  2.3945  2.2444  2.0931  1.9447  1.8003  1.6597
  1.5225  1.3886  1.2579  1.1303  1.0058  0.8842  0.7655  0.6497  0.5375  0.4311
  2.5597  2.5353  2.5209  2.5209  2.5347  2.5565  2.5827  2.6071  2.6190  2.6120
  2.5862  2.5468  2.4995  2.4471  2.3912  2.2435  2.0925  1.9438  1.7994  1.6593
  1.5230  1.3903  1.2608  1.1344  1.0111  0.8909  0.7735  0.6591  0.5475  0.4393
  0.3365
  2.5713  2.5412  2.5142  2.4933  2.4809  2.4773  2.4786  2.4803  2.4815  2.4853
  2.4909  2.4880  2.4682  2.4313  2.3831  2.2417  2.0919  1.9432  1.7988  1.6591
  1.5236  1.3919  1.2636  1.1384  1.0163  0.8971  0.7809  0.6675  0.5569  0.4493
  0.3447
  2.5865  2.5559  2.5251  2.4958  2.4698  2.4486  2.4324  2.4192  2.4059  2.3910
  2.3772  2.3685  2.3660  2.3610  2.3431  2.2354  2.0890  1.9408  1.7964  1.6569
  1.5220  1.3911  1.2637  1.1394  1.0182  0.9001  0.7847  0.6723  0.5626  0.4557
  0.3515
  2.5957  2.5683  2.5389  2.5078  2.4765  2.4464  2.4186  2.3934  2.3700  2.3469
  2.3232  2.2997  2.2789  2.2641  2.2547  2.2055  2.0862  1.9403  1.7964  1.6573
  1.5231  1.3932  1.2669  1.1437  1.0235  0.9064  0.7921  0.6808  0.5721  0.4661
  0.3627
  2.5883  2.5683  2.5439  2.5163  2.4854  2.4529  2.4200  2.3878  2.3567  2.3265
  2.2969  2.2672  2.2378  2.2099  2.1855  2.1407  2.0644  1.9379  1.7958  1.6572
  1.5235  1.3945  1.2695  1.1478  1.0289  0.9127  0.7993  0.6888  0.5811  0.4761
  0.3736
  2.5552  2.5461  2.5309  2.5101  2.4847  2.4552  2.4228  2.3889  2.3545  2.3201
  2.2859  2.2519  2.2179  2.1843  2.1355  2.0410  2.0236  1.9336  1.7946
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  H   
  3.0020  3.0018  2.9933  2.9744  2.9459  2.9069  2.8579  2.8024  2.7402  2.6768
  2.6118  2.5518  2.4942  2.4375  2.3825  2.2463
  2.9602  2.9703  2.9705  2.9598  2.9379  2.9046  2.8599  2.8048  2.7435  2.6803
  2.6176  2.5563  2.4970  2.4391  2.3822  2.2417  2.1018  1.9603  1.8144
  2.9097  2.9280  2.9365  2.9342  2.9201  2.8941  2.8558  2.8059  2.7480  2.6863
  2.6236  2.5616  2.5010  2.4419  2.3835  2.2392  2.0966  1.9546  1.8107  1.6658
  1.5225
  2.8505  2.8749  2.8913  2.8976  2.8926  2.8755  2.8456  2.8028  2.7501  2.6914
  2.6298  2.5677  2.5062  2.4459  2.3864  2.2388  2.0931  1.9499  1.8071  1.6645
  1.5235  1.3847  1.2486
  2.7867  2.8145  2.8367  2.8506  2.8544  2.8467  2.8262  2.7922  2.7464  2.6925
  2.6337  2.5726  2.5111  2.4501  2.3897  2.2398  2.0915  1.9467  1.8042  1.6631
  1.5241  1.3875  1.2538  1.1228  0.9949
  2.7051  2.7414  2.7717  2.7940  2.8061  2.8071  2.7961  2.7719  2.7346  2.6872
  2.6330  2.5746  2.5143  2.4534  2.3927  2.2415  2.0914  1.9450  1.8022  1.6621
  1.5245  1.3896  1.2577  1.1287  1.0026  0.8794
  2.5993  2.6140  2.6518  2.6985  2.7347  2.7530  2.7540  2.7404  2.7129  2.6736
  2.6257  2.5718  2.5143  2.4548  2.3945  2.2432  2.0922  1.9446  1.8014  1.6617
  1.5252  1.3916  1.2612  1.1336  1.0091  0.8874  0.7686  0.6527  0.5405  0.4344
  2.5827  2.5628  2.5569  2.5679  2.5914  2.6217  2.6519  2.6695  2.6676  2.6460
  2.6091  2.5623  2.5096  2.4531  2.3944  2.2442  2.0932  1.9449  1.8012  1.6619
  1.5262  1.3938  1.2645  1.1382  1.0149  0.8945  0.7770  0.6625  0.5507  0.4426
  0.3399
  2.5910  2.5617  2.5372  2.5210  2.5155  2.5185  2.5248  2.5312  2.5373  2.5426
