 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
  0.3794  0.4385  0.4823  0.5162  0.5451  0.6059  0.6494  0.6753  0.6857  0.6811
  0.6639  0.6372  0.6033  0.5639  0.5206  0.4740  0.4237  0.3691  0.3104  0.2500
  0.1913
 -0.4931 -0.2899 -0.1266  0.0008  0.0984  0.1739  0.2327  0.2791  0.3216  0.3670
  0.4143  0.4587  0.4965  0.5271  0.5532  0.6088  0.6499  0.6740  0.6832  0.6786
  0.6616  0.6352  0.6016  0.5624  0.5193  0.4733  0.4244  0.3725  0.3175  0.2587
  0.1978
 -0.4813 -0.2636 -0.0837  0.0612  0.1755  0.2645  0.3341  0.3892  0.4335  0.4687
  0.4953  0.5147  0.5311  0.5483  0.5673  0.6148  0.6529  0.6751  0.6828  0.6778
  0.6608  0.6343  0.6005  0.5612  0.5179  0.4718  0.4234  0.3727  0.3198  0.2643
  0.2054
 -0.4985 -0.2689 -0.0774  0.0795  0.2053  0.3043  0.3816  0.4419  0.4892  0.5268
  0.5558  0.5764  0.5895  0.5969  0.6025  0.6255  0.6577  0.6783  0.6847  0.6792
  0.6624  0.6359  0.6019  0.5623  0.5185  0.4719  0.4233  0.3732  0.3215  0.2678
  0.2123
 -0.5243 -0.2896 -0.0882  0.0775  0.2120  0.3187  0.4022  0.4670  0.5173  0.5562
  0.5865  0.6096  0.6267  0.6386  0.6462  0.6545  0.6672  0.6840  0.6891  0.6829
  0.6662  0.6398  0.6056  0.5656  0.5212  0.4736  0.4241  0.3735  0.3220  0.2694
  0.2156
 -0.5515 -0.3155 -0.1099  0.0637  0.2059  0.3195  0.4085  0.4776  0.5310  0.5723
  0.6043  0.6290  0.6482  0.6628  0.6984  0.7018  0.6814  0.6922  0.6960
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  I   
 -1.8731 -1.8074 -1.7483 -1.5905 -1.3388 -1.0252 -0.6765 -0.3149  0.0184  0.2333
  0.3537  0.4257  0.4766  0.5180  0.5551  0.6305  0.6862  0.7240  0.7485
 -1.6345 -1.5492 -1.4776 -1.3989 -1.2792 -1.0607 -0.7241 -0.3085  0.0190  0.2322
  0.3545  0.4269  0.4767  0.5168  0.5521  0.6244  0.6775  0.7141  0.7335  0.7342
 -1.4328 -1.3206 -1.2303 -1.1455 -1.0414 -0.8833 -0.6308 -0.2957  0.0088  0.2220
  0.3504  0.4267  0.4772  0.5165  0.5506  0.6208  0.6720  0.7064  0.7234  0.7226
  0.7068
 -1.2697 -1.1280 -1.0141 -0.9172 -0.8203 -0.6984 -0.5189 -0.2642  0.0007  0.2088
  0.3434  0.4253  0.4780  0.5172  0.5503  0.6182  0.6675  0.7000  0.7155  0.7139
  0.6975  0.6697
 -1.1352 -0.9708 -0.8343 -0.7208 -0.6211 -0.5178 -0.3890 -0.2070  0.0079  0.1992
