 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.3003  0.2477  0.1909  0.1315  0.0715  0.0118 -0.0477 -0.1072 -0.1676 -0.2306
 -0.2954
  0.5398  0.5827  0.6141  0.6356  0.6483  0.6521  0.6477  0.6355  0.6153  0.5885
  0.5580  0.5271  0.4992  0.4772  0.4618  0.4445  0.4347  0.4146  0.3841  0.3452
  0.2983  0.2450  0.1872  0.1264  0.0644  0.0025 -0.0589 -0.1198 -0.1805 -0.2419
 -0.3054
  0.5354  0.5772  0.6070  0.6275  0.6404  0.6467  0.6466  0.6404  0.6282  0.6105
  0.5887  0.5645  0.5394  0.5145  0.4917  0.4542  0.4387  0.4177  0.3862  0.3466
  0.2996  0.2459  0.1872  0.1253  0.0614 -0.0029 -0.0667 -0.1296 -0.1917 -0.2537
 -0.3158
  0.5405  0.5776  0.6054  0.6238  0.6350  0.6403  0.6409  0.6372  0.6292  0.6171
  0.6015  0.5835  0.5646  0.5455  0.5264  0.4801  0.4469  0.4231  0.3909  0.3505
  0.3032  0.2493  0.1901  0.1272  0.0618 -0.0047 -0.0712 -0.1368 -0.2013 -0.2648
 -0.3279
  0.5625  0.5911  0.6125  0.6275  0.6362  0.6393  0.6384  0.6345  0.6278  0.6188
  0.6074  0.5939  0.5791  0.5639  0.5659  0.5222  0.4593  0.4308  0.3982
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value = F098M
 -0.1599 -0.1714 -0.1671 -0.1022  0.0087  0.1386  0.2655  0.3710  0.4404  0.4693
  0.4776  0.4808  0.4852  0.4917  0.4996  0.5134  0.5124  0.4979  0.4770
  0.0158  0.0023 -0.0025  0.0112  0.0527  0.1332  0.2440  0.3606  0.4305  0.4595
  0.4668  0.4676  0.4692  0.4736  0.4798  0.4916  0.4896  0.4752  0.4524  0.4214
  0.1748  0.1636  0.1533  0.1522  0.1686  0.2093  0.2787  0.3643  0.4275  0.4565
  0.4636  0.4624  0.4611  0.4627  0.4669  0.4769  0.4744  0.4592  0.4349  0.4023
  0.3611
  0.3068  0.3037  0.2938  0.2844  0.2831  0.2966  0.3300  0.3830  0.4320  0.4589
  0.4658  0.4631  0.4590  0.4573  0.4589  0.4662  0.4633  0.4476  0.4221  0.3880
  0.3457  0.2965
  0.4050  0.4147  0.4118  0.4019  0.3915  0.3870  0.3941  0.4168  0.4468  0.4670
