 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  K   
  2.9913  2.9580  2.9196  2.8778  2.8347  2.7920  2.7514  2.7142  2.6797  2.6466
  2.6135  2.5803  2.5486  2.5195  2.4906  2.3871  2.2319  2.0697  1.9137  1.7642
  1.6208  1.4826  1.3493  1.2205  1.0959  0.9754  0.8588  0.7457  0.6360  0.5292
  0.4252
  2.9373  2.9215  2.8963  2.8642  2.8265  2.7855  2.7432  2.7013  2.6606  2.6214
  2.5831  2.5447  2.5060  2.4678  2.4313  2.3434  2.2256  2.0719  1.9165  1.7671
  1.6237  1.4857  1.3526  1.2238  1.0992  0.9787  0.8621  0.7493  0.6401  0.5340
  0.4308
  2.8464  2.8516  2.8449  2.8275  2.8019  2.7688  2.7311  2.6906  2.6489  2.6070
  2.5653  2.5237  2.4818  2.4395  2.3722  2.2672  2.2115  2.0741  1.9199
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  K   
  3.3386  3.3447  3.3443  3.3339  3.3106  3.2709  3.2134  3.1398  3.0595  2.9781
  2.8976  2.8190  2.7426  2.6687  2.5970  2.4265  2.2636  2.1030  1.9429
  3.2658  3.2756  3.2813  3.2791  3.2657  3.2373  3.1909  3.1267  3.0517  2.9726
  2.8930  2.8143  2.7374  2.6625  2.5896  2.4161  2.2519  2.0926  1.9355  1.7813
  3.1937  3.2032  3.2120  3.2163  3.2118  3.1948  3.1611  3.1087  3.0417  2.9669
  2.8893  2.8113  2.7345  2.6592  2.5857  2.4098  2.2440  2.0848  1.9295  1.7778
  1.6299
  3.1282  3.1330  3.1409  3.1481  3.1503  3.1431  3.1219  3.0827  3.0265  2.9587
  2.8848  2.8088  2.7327  2.6576  2.5838  2.4066  2.2391  2.0795  1.9250  1.7750
  1.6291  1.4866
  3.0687  3.0692  3.0727  3.0790  3.0842  3.0838  3.0733  3.0472  3.0036  2.9454
  2.8777  2.8052  2.7310  2.6566  2.5831  2.4053  2.2366  2.0762  1.9220  1.7729
  1.6284  1.4877  1.3508  1.2175
  3.0288  3.0126  3.0095  3.0124  3.0175  3.0204  3.0168  3.0020  2.9711  2.9244
  2.8655  2.7987  2.7279  2.6554  2.5828  2.4051  2.2356  2.0744  1.9201  1.7715
  1.6280  1.4886  1.3532  1.2216  1.0937  0.9690  0.8472  0.7284  0.6139  0.5047
  3.0192  2.9779  2.9502  2.9390  2.9414  2.9490  2.9529  2.9472  2.9283  2.8939
  2.8458  2.7872  2.7218  2.6527  2.5820  2.4056  2.2358  2.0739  1.9193  1.7709
  1.6279  1.4894  1.3552  1.2250  1.0985  0.9753  0.8553  0.7383  0.6243  0.5142
  0.4092
  3.0231  2.9753  2.9325  2.8985  2.8765  2.8656  2.8621  2.8613  2.8563  2.8409
  2.8109  2.7661  2.7100  2.6468  2.5796  2.4064  2.2368  2.0745  1.9194  1.7710
  1.6282  1.4903  1.3570  1.2277  1.1023  0.9805  0.8619  0.7463  0.6337  0.5241
  0.4181
  3.0268  2.9787  2.9320  2.8887  2.8511  2.8214  2.7993  2.7817  2.7646  2.7465
  2.7266  2.7027  2.6703  2.6258  2.5698  2.4052  2.2365  2.0738  1.9182  1.7694
  1.6266  1.4889  1.3559  1.2272  1.1025  0.9814  0.8638  0.7494  0.6380  0.5295
  0.4238
  3.0232  2.9797  2.9344  2.8892  2.8456  2.8051  2.7694  2.7384  2.7099  2.6811
  2.6510  2.6204  2.5906  2.5606  2.5265  2.4016  2.2388  2.0765  1.9208  1.7718
  1.6289  1.4913  1.3585  1.2301  1.1058  0.9853  0.8683  0.7548  0.6444  0.5369
  0.4322
  3.0009  2.9676  2.9296  2.8878  2.8445  2.8008  2.7583  2.7181  2.6803  2.6442
  2.6080  2.5706  2.5327  2.4957  2.4605  2.3680  2.2379  2.0796  1.9241  1.7750
  1.6320  1.4944  1.3618  1.2336  1.1094  0.9891  0.8723  0.7591  0.6493  0.5426
  0.4387
  2.9469  2.9309  2.9059  2.8740  2.8367  2.7957  2.7527  2.7092  2.6662  2.6242
  2.5831  2.5420  2.5003  2.4581  2.3718  2.3044  2.2338  2.0831  1.9281
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  K   
  3.3922  3.3954  3.3901  3.3701  3.3347  3.2850  3.2221  3.1467  3.0622  2.9783
  2.8962  2.8161  2.7386  2.6636  2.5914  2.4208  2.2600  2.1025  1.9448
  3.3212  3.3299  3.3323  3.3252  3.3052  3.2684  3.2127  3.1396  3.0587  2.9762
  2.8945  2.8142  2.7361  2.6602  2.5867  2.4127  2.2498  2.0928  1.9379  1.7849
  3.2473  3.2581  3.2659  3.2669  3.2574  3.2334  3.1908  3.1287  3.0539  2.9742
  2.8936  2.8137  2.7355  2.6592  2.5850  2.4085  2.2433  2.0859  1.9324  1.7819
  1.6347
  3.1763  3.1850  3.1945  3.2008  3.1998  3.1874  3.1588  3.1106  3.0454  2.9707
  2.8925  2.8136  2.7357  2.6594  2.5848  2.4068  2.2397  2.0813  1.9284  1.7794
  1.6343  1.4925
  3.1133  3.1157  3.1227  3.1304  3.1349  3.1315  3.1158  3.0826  3.0300  2.9635
  2.8896  2.8130  2.7361  2.6601  2.5856  2.4067  2.2382  2.0787  1.9258  1.7777
  1.6339  1.4939  1.3573  1.2241
  3.0614  3.0537  3.0545  3.0602  3.0663  3.0685  3.0624  3.0429  3.0049  2.9498
  2.8831  2.8105  2.7357  2.6607  2.5866  2.4076  2.2382  2.0776  1.9243  1.7766
  1.6338  1.4951  1.3601  1.2287  1.1008  0.9759  0.8539  0.7348  0.6202  0.5109
