 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -5.2175 -4.9259 -4.6494 -4.3852 -4.1301 -3.5209 -2.9418 -2.4021 -1.9199 -1.5100
 -1.1898
 -8.7104 -8.0836 -7.8097 -7.7177 -7.5488 -7.2796 -6.8367 -6.2582 -5.7767 -5.4010
 -5.0731 -4.7657 -4.4759 -4.2018 -3.9401 -3.3278 -2.7593 -2.2403 -1.7859 -1.4032
 -1.1014 -0.8842
 -8.7017 -7.8854 -7.3634 -7.0843 -6.9764 -6.8825 -6.6703 -6.2981 -5.7948 -5.3558
 -5.0019 -4.6804 -4.3783 -4.0936 -3.8238 -3.2028 -2.6381 -2.1298 -1.6906 -1.3241
 -1.0328 -0.8216 -0.6754 -0.5692
 -8.9081 -7.9417 -7.2445 -6.7841 -6.4986 -6.3336 -6.2361 -6.0928 -5.8105 -5.3957
 -4.9916 -4.6551 -4.3427 -4.0482 -3.7697 -3.1352 -2.5679 -2.0630 -1.6297 -1.2702
 -0.9834 -0.7720 -0.6272 -0.5274 -0.4537 -0.3966 -0.3496 -0.3075 -0.2666 -0.2262
 -9.2827 -8.2020 -7.3462 -6.7283 -6.3024 -6.0115 -5.8019 -5.6441 -5.5089 -5.3217
 -5.0211 -4.6725 -4.3537 -4.0521 -3.7661 -3.1160 -2.5413 -2.0343 -1.6004 -1.2408
 -0.9526 -0.7359 -0.5866 -0.4868 -0.4181 -0.3678 -0.3285 -0.2961 -0.2673 -0.2396
 -0.2115
 -9.7499 -8.6142 -7.6388 -6.8671 -6.2997 -5.8948 -5.5998 -5.3653 -5.1632 -4.9860
 -4.8198 -4.6166 -4.3620 -4.0845 -3.8007 -3.1372 -2.5519 -2.0393 -1.6007 -1.2354
 -0.9407 -0.7145 -0.5551 -0.4495 -0.3804 -0.3332 -0.2997 -0.2741 -0.2535 -0.2361
 -0.2201
-10.2629 -9.0890 -8.0582 -7.1710 -6.4668 -5.9354 -5.5431 -5.2446 -4.9980 -4.7756
 -4.5708 -4.3854 -4.2058 -4.0168 -3.8047 -3.1853 -2.5897 -2.0690 -1.6232 -1.2495
 -0.9445 -0.7056 -0.5320 -0.4160 -0.3419 -0.2946 -0.2641 -0.2435 -0.2292 -0.2187
 -0.2105
-10.7756 -9.6420 -8.5684 -7.6070 -6.7939 -6.1402 -5.6344 -5.2482 -4.9462 -4.6929
 -4.4634 -4.2487 -4.0496 -3.8640 -3.6890 -3.2197 -2.6599 -2.1313 -1.6768 -1.2921
 -0.9737 -0.7186 -0.5264 -0.3935 -0.3081 -0.2555 -0.2241 -0.2058 -0.1955 -0.1903
 -0.1879
-11.2252-10.1625 -9.1089 -8.1144 -7.2297 -6.4781 -5.8652 -5.3796 -4.9980 -4.6923
 -4.4347 -4.2029 -3.9859 -3.7806 -3.5886 -3.1601 -2.7131 -2.2121 -1.7498 -1.3537
 -1.0213 -0.7495 -0.5377 -0.3843 -0.2822 -0.2188 -0.1821 -0.1624 -0.1535 -0.1517
 -0.1532
-11.5922-10.6205 -9.6242 -8.6462 -7.7285 -6.9122 -6.2122 -5.6328 -5.1630 -4.7853
 -4.4769 -4.2155 -3.9821 -3.7641 -3.5569 -3.0959 -2.6965 -2.2786 -1.8353
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = UX   
-11.1534-10.4455 -9.7620 -8.9806 -8.0984 -7.3425 -6.8493 -6.4852 -6.2030 -5.9545
 -5.7114 -5.4749 -5.2447 -5.0185 -4.7936 -4.2257 -3.6453 -3.0620 -2.4921
-10.0240 -9.7493 -9.2765 -8.7502 -8.0340 -7.2452 -6.6608 -6.2479 -5.9280 -5.6542
 -5.3949 -5.1471 -4.9083 -4.6755 -4.4460 -3.8779 -3.3125 -2.7630 -2.2500 -1.7940
 -9.1882 -9.0015 -8.7100 -8.3759 -7.9342 -7.2708 -6.6050 -6.1080 -5.7418 -5.4399
 -5.1644 -4.9046 -4.6571 -4.4189 -4.1866 -3.6210 -3.0693 -2.5437 -2.0664 -1.6507
 -1.3088
 -8.6929 -8.1863 -8.0472 -7.8841 -7.6341 -7.2519 -6.6690 -6.0843 -5.6462 -5.3057
 -5.0128 -4.7399 -4.4824 -4.2371 -4.0008 -3.4358 -2.8942 -2.3845 -1.9293 -1.5391
 -1.2184 -0.9740
 -8.6619 -7.8706 -7.4217 -7.2550 -7.1716 -6.9876 -6.6664 -6.1664 -5.6492 -5.2496
 -4.9303 -4.6438 -4.3753 -4.1215 -3.8791 -3.3095 -2.7732 -2.2733 -1.8306 -1.4553
 -1.1478 -0.9110 -0.7416 -0.6189
 -8.8913 -7.9021 -7.2238 -6.8098 -6.5965 -6.5063 -6.3920 -6.1430 -5.7392 -5.2776
 -4.9082 -4.6049 -4.3257 -4.0630 -3.8135 -3.2344 -2.6982 -2.2028 -1.7657 -1.3970
 -1.0959 -0.8615 -0.6926 -0.5751 -0.4895 -0.4240 -0.3702 -0.3218 -0.2757 -0.2305
 -9.3248 -8.1771 -7.3034 -6.6987 -6.3050 -6.0584 -5.9079 -5.8007 -5.6391 -5.3467
 -4.9551 -4.6127 -4.3221 -4.0515 -3.7953 -3.2041 -2.6640 -2.1688 -1.7321 -1.3636
 -1.0624 -0.8255 -0.6524 -0.5334 -0.4517 -0.3925 -0.3466 -0.3088 -0.2755 -0.2435
 -0.2107
 -9.8730 -8.6417 -7.6094 -6.8226 -6.2657 -5.8820 -5.6155 -5.4173 -5.2610 -5.1189
 -4.9340 -4.6543 -4.3528 -4.0760 -3.8143 -3.2121 -2.6659 -2.1680 -1.7279 -1.3546
 -1.0477 -0.8043 -0.6223 -0.4966 -0.4130 -0.3562 -0.3161 -0.2856 -0.2610 -0.2396
 -0.2196
-10.4398 -9.1939 -8.0760 -7.1424 -6.4212 -5.8955 -5.5200 -5.2423 -5.0192 -4.8264
 -4.6561 -4.4955 -4.3074 -4.0876 -3.8494 -3.2466 -2.6938 -2.1914 -1.7465 -1.3653
 -1.0490 -0.7949 -0.6012 -0.4647 -0.3747 -0.3168 -0.2793 -0.2535 -0.2351 -0.2213
 -0.2101
