 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -0.8091 -0.6954 -0.6019 -0.5262 -0.4643 -0.4121 -0.3662 -0.3247 -0.2868 -0.2526
 -0.2221
 -5.7967 -5.3990 -5.0319 -4.6752 -4.3322 -4.0138 -3.7285 -3.4792 -3.2630 -3.0721
 -2.8973 -2.7314 -2.5725 -2.4206 -2.2755 -1.9403 -1.6243 -1.3474 -1.1293 -0.9575
 -0.8191 -0.7062 -0.6148 -0.5420 -0.4847 -0.4383 -0.3993 -0.3646 -0.3332 -0.3045
 -0.2774
 -5.8369 -5.4230 -5.0655 -4.7279 -4.3992 -4.0838 -3.7899 -3.5248 -3.2912 -3.0865
 -2.9047 -2.7381 -2.5803 -2.4282 -2.2810 -1.9434 -1.6477 -1.3784 -1.1509
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = BX   
 -6.6394 -6.0717 -5.5531 -5.1161 -4.7381 -4.4008 -4.1152 -3.8506 -3.6142 -3.4063
 -3.2087 -3.0231 -2.8505 -2.6910 -2.5436 -2.2168 -1.9219 -1.6365 -1.3557
 -6.2560 -6.0278 -5.5396 -5.0764 -4.6695 -4.3129 -4.0102 -3.7404 -3.4979 -3.2833
 -3.0817 -2.8930 -2.7176 -2.5557 -2.4070 -2.0834 -1.7996 -1.5330 -1.2786 -1.0412
 -5.9243 -5.8236 -5.5150 -5.0896 -4.6706 -4.2900 -3.9649 -3.6826 -3.4336 -3.2123
 -3.0075 -2.8156 -2.6368 -2.4714 -2.3196 -1.9930 -1.7144 -1.4596 -1.2227 -1.0050
 -0.8100
 -5.6857 -5.3808 -5.2830 -5.0674 -4.7007 -4.3219 -3.9731 -3.6705 -3.4094 -3.1792
 -2.9709 -2.7758 -2.5933 -2.4238 -2.2678 -1.9339 -1.6559 -1.4085 -1.1837 -0.9807
 -0.7994 -0.6415
 -5.6565 -5.2264 -4.9276 -4.7840 -4.6533 -4.3576 -4.0197 -3.6995 -3.4193 -3.1765
 -2.9621 -2.7637 -2.5775 -2.4038 -2.2428 -1.8983 -1.6173 -1.3738 -1.1575 -0.9655
 -0.7957 -0.6471 -0.5198 -0.4113
 -5.6893 -5.2204 -4.8335 -4.5456 -4.3559 -4.2325 -4.0400 -3.7527 -3.4623 -3.2017
 -2.9750 -2.7725 -2.5828 -2.4049 -2.2389 -1.8816 -1.5941 -1.3515 -1.1408 -0.9572
 -0.7968 -0.6565 -0.5360 -0.4330 -0.3442 -0.2654 -0.1928 -0.1245 -0.0664 -0.0290
 -5.7561 -5.2701 -4.8454 -4.4937 -4.2197 -4.0107 -3.8490 -3.7037 -3.5018 -3.2514
 -3.0102 -2.7977 -2.6045 -2.4230 -2.2525 -1.8811 -1.5839 -1.3393 -1.1317 -0.9540
 -0.8009 -0.6681 -0.5540 -0.4568 -0.3733 -0.2998 -0.2349 -0.1754 -0.1195 -0.0731
 -0.0456
 -5.8408 -5.3511 -4.9065 -4.5197 -4.1987 -3.9382 -3.7274 -3.5462 -3.3867 -3.2314
 -3.0463 -2.8371 -2.6394 -2.4548 -2.2803 -1.8953 -1.5858 -1.3359 -1.1288 -0.9547
 -0.8068 -0.6803 -0.5721 -0.4806 -0.4029 -0.3353 -0.2757 -0.2213 -0.1723 -0.1297
 -0.0940
 -5.9228 -5.4420 -4.9917 -4.5839 -4.2294 -3.9326 -3.6889 -3.4838 -3.3007 -3.1321
 -2.9763 -2.8241 -2.6599 -2.4878 -2.3155 -1.9198 -1.5967 -1.3384 -1.1292 -0.9565
 -0.8121 -0.6903 -0.5874 -0.5014 -0.4295 -0.3681 -0.3145 -0.2665 -0.2234 -0.1852
 -0.1516
 -6.0027 -5.5361 -5.0934 -4.6788 -4.3035 -3.9773 -3.7020 -3.4719 -3.2749 -3.0966
 -2.9294 -2.7726 -2.6255 -2.4822 -2.3356 -1.9590 -1.6229 -1.3535 -1.1386 -0.9645
 -0.8210 -0.7018 -0.6027 -0.5210 -0.4542 -0.3987 -0.3513 -0.3095 -0.2721 -0.2379
 -0.2090
 -6.0747 -5.6174 -5.1899 -4.7823 -4.4003 -4.0551 -3.7534 -3.4962 -3.2783 -3.0893
 -2.9177 -2.7563 -2.6032 -2.4587 -2.3202 -1.9856 -1.6592 -1.3780 -1.1545 -0.9760
 -0.8314 -0.7128 -0.6157 -0.5371 -0.4743 -0.4241 -0.3829 -0.3475 -0.3163 -0.2884
 -0.2621
 -6.1491 -5.6812 -5.2678 -4.8767 -4.5027 -4.1520 -3.8338 -3.5535 -3.3118 -3.1042
 -2.9227 -2.7582 -2.6036 -2.4562 -2.3149 -1.9881 -1.6888 -1.4115 -1.1776
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.4842 -5.9080 -5.4099 -4.9992 -4.6349 -4.3139 -4.0436 -3.7913 -3.5569 -3.3553
 -3.1654 -2.9868 -2.8205 -2.6662 -2.5236 -2.2080 -1.9190 -1.6467 -1.3894
 -6.3273 -5.9381 -5.4293 -4.9748 -4.5852 -4.2422 -3.9565 -3.6950 -3.4566 -3.2496
 -3.0558 -2.8744 -2.7055 -2.5490 -2.4046 -2.0900 -1.8163 -1.5596 -1.3131 -1.0791
 -6.0950 -5.8849 -5.4678 -5.0135 -4.5965 -4.2287 -3.9163 -3.6459 -3.4027 -3.1886
 -2.9918 -2.8076 -2.6357 -2.4761 -2.3287 -2.0100 -1.7389 -1.4908 -1.2578 -1.0412
 -0.8447
 -5.8185 -5.5348 -5.4014 -5.0533 -4.6488 -4.2667 -3.9266 -3.6362 -3.3837 -3.1603
 -2.9600 -2.7729 -2.5978 -2.4344 -2.2831 -1.9568 -1.6848 -1.4420 -1.2185 -1.0144
 -0.8308 -0.6684
 -5.6529 -5.2461 -5.0368 -4.9467 -4.6808 -4.3262 -3.9785 -3.6647 -3.3944 -3.1594
 -2.9526 -2.7621 -2.5836 -2.4164 -2.2607 -1.9240 -1.6480 -1.4079 -1.1913 -0.9966
 -0.8236 -0.6705 -0.5373 -0.4236
 -5.7042 -5.2215 -4.8493 -4.6126 -4.4980 -4.3332 -4.0380 -3.7254 -3.4359 -3.1846
 -2.9651 -2.7703 -2.5883 -2.4174 -2.2573 -1.9085 -1.6253 -1.3852 -1.1733 -0.9858
 -0.8212 -0.6765 -0.5501 -0.4412 -0.3471 -0.2652 -0.1901 -0.1192 -0.0609 -0.0228
 -5.8060 -5.2860 -4.8484 -4.5051 -4.2599 -4.0976 -3.9704 -3.7686 -3.5003 -3.2353
 -3.0001 -2.7945 -2.6088 -2.4342 -2.2700 -1.9084 -1.6151 -1.3720 -1.1627 -0.9803
 -0.8222 -0.6847 -0.5649 -0.4616 -0.3731 -0.2963 -0.2275 -0.1657 -0.1106 -0.0644
 -0.0365
 -5.9400 -5.3977 -4.9228 -4.5236 -4.2054 -3.9633 -3.7767 -3.6253 -3.4778 -3.2845
 -3.0557 -2.8364 -2.6426 -2.4648 -2.2968 -1.9228 -1.6172 -1.3680 -1.1585 -0.9793
 -0.8257 -0.6939 -0.5801 -0.4825 -0.3994 -0.3283 -0.2666 -0.2124 -0.1631 -0.1183
 -0.0828
 -6.0913 -5.5306 -5.0360 -4.6013 -4.2351 -3.9395 -3.7059 -3.5143 -3.3473 -3.1955
 -3.0440 -2.8722 -2.6834 -2.5029 -2.3322 -1.9478 -1.6288 -1.3707 -1.1582 -0.9799
 -0.8293 -0.7017 -0.5932 -0.5010 -0.4234 -0.3580 -0.3021 -0.2533 -0.2101 -0.1720
 -0.1386
 -6.2205 -5.6741 -5.1762 -4.7224 -4.3229 -3.9851 -3.7089 -3.4847 -3.2961 -3.1271
 -2.9705 -2.8234 -2.6792 -2.5283 -2.3720 -1.9881 -1.6561 -1.3866 -1.1679 -0.9877
 -0.8377 -0.7122 -0.6073 -0.5194 -0.4466 -0.3865 -0.3364 -0.2934 -0.2558 -0.2228
 -0.1943
 -6.3351 -5.8079 -5.3179 -4.8618 -4.4447 -4.0770 -3.7639 -3.5041 -3.2893 -3.1059
 -2.9407 -2.7863 -2.6409 -2.5035 -2.3690 -2.0276 -1.6944 -1.4124 -1.1849 -1.0002
 -0.8485 -0.7233 -0.6201 -0.5353 -0.4664 -0.4110 -0.3663 -0.3292 -0.2975 -0.2701
 -0.2450
 -6.4350 -5.9320 -5.4412 -4.9985 -4.5807 -4.1985 -3.8588 -3.5671 -3.3216 -3.1152
 -2.9374 -2.7776 -2.6283 -2.4871 -2.3232 -2.0663 -1.7437 -1.4481 -1.2092
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = BX   
 -6.3382 -5.7631 -5.2902 -4.9095 -4.5572 -4.2533 -3.9874 -3.7448 -3.5167 -3.3223
