 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -2.6999 -2.5662 -2.4176 -2.2656 -2.1129 -1.7385 -1.4441 -1.2180 -1.0356 -0.8830
 -0.7551 -0.6479 -0.5558 -0.4736 -0.3983 -0.3285 -0.2641 -0.2047 -0.1494 -0.1007
 -0.0726
 -5.4191 -4.9088 -4.4676 -4.0929 -3.7776 -3.5125 -3.2883 -3.0972 -2.9316 -2.7840
 -2.6481 -2.5201 -2.3938 -2.2584 -2.1117 -1.7404 -1.4407 -1.2143 -1.0356 -0.8887
 -0.7679 -0.6661 -0.5812 -0.5064 -0.4381 -0.3744 -0.3153 -0.2597 -0.2087 -0.1641
 -0.1268
 -5.6123 -5.0866 -4.6187 -4.2191 -3.8797 -3.5920 -3.3465 -3.1346 -2.9493 -2.7848
 -2.6351 -2.4951 -2.3617 -2.2333 -2.1044 -1.7540 -1.4446 -1.2140 -1.0364 -0.8931
 -0.7753 -0.6794 -0.6007 -0.5333 -0.4726 -0.4161 -0.3633 -0.3137 -0.2676 -0.2258
 -0.1891
 -5.7837 -5.2629 -4.7917 -4.3774 -4.0185 -3.7097 -3.4431 -3.2107 -3.0057 -2.8227
 -2.6570 -2.5043 -2.3608 -2.2246 -2.0944 -1.7723 -1.4657 -1.2232 -1.0426 -0.9001
 -0.7843 -0.6907 -0.6160 -0.5549 -0.5017 -0.4530 -0.4076 -0.3646 -0.3242 -0.2867
 -0.2522
 -5.9067 -5.4086 -4.9520 -4.5365 -4.1703 -3.8479 -3.5643 -3.3133 -3.0894 -2.8884
 -2.7059 -2.5388 -2.3837 -2.2384 -2.1009 -1.7822 -1.4903 -1.2418 -1.0525 -0.9080
 -0.7925 -0.6996 -0.6267 -0.5695 -0.5227 -0.4817 -0.4443 -0.4090 -0.3754 -0.3437
 -0.3144
 -5.9590 -5.5000 -5.0713 -4.6729 -4.3119 -3.9872 -3.6953 -3.4316 -3.1924 -2.9750
 -2.7767 -2.5950 -2.4275 -2.2718 -2.1239 -1.7837 -1.5184 -1.2698 -1.0661
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  B   
 -7.0357 -6.9119 -6.7796 -6.6257 -6.4686 -6.2157 -5.7961 -5.2293 -4.7391 -4.2326
 -3.8861 -3.5975 -3.3483 -3.1236 -2.9189 -2.4725
 -6.4199 -6.2820 -6.1393 -5.9813 -5.8044 -5.5627 -5.2076 -4.7384 -4.2842 -3.9059
 -3.5932 -3.3223 -3.0803 -2.8611 -2.6621 -2.2375 -1.8846 -1.5632 -1.2701
 -5.9092 -5.7531 -5.5967 -5.4321 -5.2469 -5.0219 -4.7244 -4.3409 -3.9678 -3.6426
 -3.3616 -3.1101 -2.8785 -2.6654 -2.4709 -2.0611 -1.7284 -1.4429 -1.1889 -0.9625
 -0.7669
 -5.5036 -5.3252 -5.1518 -4.9781 -4.7961 -4.5933 -4.3465 -4.0368 -3.7251 -3.4427
 -3.1913 -2.9609 -2.7429 -2.5365 -2.3453 -1.9433 -1.6256 -1.3613 -1.1319 -0.9284
 -0.7506 -0.5994 -0.4689
 -5.2241 -5.0099 -4.8110 -4.6209 -4.4342 -4.2440 -4.0372 -3.7886 -3.5275 -3.2823
 -3.0586 -2.8508 -2.6501 -2.4539 -2.2666 -1.8680 -1.5584 -1.3074 -1.0942 -0.9079
 -0.7448 -0.6043 -0.4830 -0.3770 -0.2808
 -5.1032 -4.8210 -4.5808 -4.3649 -4.1632 -3.9714 -3.7828 -3.5802 -3.3615 -3.1484
 -2.9497 -2.7633 -2.5821 -2.4004 -2.2201 -1.8229 -1.5163 -1.2732 -1.0710 -0.8974
 -0.7463 -0.6159 -0.5030 -0.4034 -0.3144 -0.2325
 -5.1297 -4.7630 -4.4480 -4.1822 -3.9582 -3.7654 -3.5881 -3.4129 -3.2267 -3.0390
 -2.8597 -2.6906 -2.5272 -2.3628 -2.1939 -1.7997 -1.4920 -1.2530 -1.0581 -0.8936
 -0.7524 -0.6308 -0.5259 -0.4334 -0.3501 -0.2741 -0.2047 -0.1384 -0.0787 -0.0403
 -5.2373 -4.8142 -4.4410 -4.1187 -3.8457 -3.6155 -3.4208 -3.2560 -3.1071 -2.9573
 -2.7995 -2.6401 -2.4848 -2.3325 -2.1785 -1.7928 -1.4808 -1.2424 -1.0522 -0.8942
 -0.7607 -0.6469 -0.5493 -0.4640 -0.3871 -0.3169 -0.2528 -0.1935 -0.1380 -0.0894
 -0.0601
 -5.4195 -4.9418 -4.5203 -4.1542 -3.8403 -3.5755 -3.3530 -3.1650 -3.0030 -2.8599
 -2.7302 -2.6030 -2.4657 -2.3189 -2.1700 -1.7985 -1.4805 -1.2390 -1.0508 -0.8972
 -0.7694 -0.6621 -0.5712 -0.4929 -0.4229 -0.3589 -0.3002 -0.2460 -0.1964 -0.1512
 -0.1141
 -5.6932 -5.1443 -4.6706 -4.2600 -3.9085 -3.6107 -3.3599 -3.1485 -2.9688 -2.8128
 -2.6735 -2.5457 -2.4247 -2.3024 -2.1693 -1.8104 -1.4869 -1.2395 -1.0506 -0.8998
