 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
-11.0532-10.0857 -9.1977 -8.3973 -7.6839 -7.0636 -6.5263 -6.0638 -5.6663 -5.3246
 -5.0286 -4.7699 -4.5406 -4.3340 -4.1100 -3.6824 -3.4279 -3.0072 -2.5814
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  u   
 -7.6961 -7.7151 -7.7237 -7.7159 -7.6885 -7.6325 -7.5390 -7.4053 -7.2463 -7.0776
 -6.9036 -6.7172 -6.5075 -6.2705 -6.0086 -5.3079 -4.6081 -3.9557 -3.3760
 -7.1622 -7.1761 -7.1832 -7.1779 -7.1554 -7.1107 -7.0384 -6.9315 -6.7939 -6.6358
 -6.4628 -6.2724 -6.0582 -5.8190 -5.5600 -4.8845 -4.2245 -3.6247 -3.1106 -2.6769
 -6.7154 -6.7141 -6.7135 -6.7064 -6.6870 -6.6503 -6.5919 -6.5056 -6.3895 -6.2474
 -6.0838 -5.8998 -5.6924 -5.4614 -5.2126 -4.5698 -3.9495 -3.3894 -2.9133 -2.5203
 -2.2058
 -6.4064 -6.3641 -6.3393 -6.3201 -6.2970 -6.2631 -6.2131 -6.1413 -6.0436 -5.9191
 -5.7698 -5.5976 -5.4023 -5.1839 -4.9475 -4.3357 -3.7497 -3.2191 -2.7667 -2.3972
 -2.1036 -1.8802
 -6.3440 -6.2076 -6.1103 -6.0453 -5.9994 -5.9576 -5.9085 -5.8442 -5.7594 -5.6507
 -5.5170 -5.3592 -5.1776 -4.9731 -4.7495 -4.1633 -3.6038 -3.0967 -2.6600 -2.3034
 -2.0214 -1.8063 -1.6515 -1.5414
 -6.5006 -6.2514 -6.0658 -5.9326 -5.8318 -5.7512 -5.6855 -5.6186 -5.5387 -5.4404
 -5.3202 -5.1767 -5.0094 -4.8189 -4.6081 -4.0430 -3.5008 -3.0118 -2.5863 -2.2354
 -1.9578 -1.7451 -1.5910 -1.4850 -1.4118 -1.3589 -1.3175 -1.2829 -1.2490 -1.2107
