 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -0.6995 -0.5971 -0.5108 -0.4389 -0.3794 -0.2566 -0.1489 -0.0672 -0.0107  0.0247
  0.0425  0.0463  0.0399  0.0280  0.0145  0.0009 -0.0128 -0.0264 -0.0406 -0.0562
 -0.0744
 -4.1151 -3.5043 -2.9338 -2.4235 -1.9934 -1.6430 -1.3638 -1.1413 -0.9628 -0.8163
 -0.6935 -0.5890 -0.4998 -0.4238 -0.3591 -0.2355 -0.1374 -0.0589 -0.0033  0.0323
  0.0505  0.0539  0.0458  0.0302  0.0117 -0.0070 -0.0253 -0.0428 -0.0599 -0.0771
 -0.0952
 -3.9955 -3.4326 -2.9063 -2.4315 -2.0220 -1.6781 -1.3963 -1.1675 -0.9822 -0.8300
 -0.7027 -0.5942 -0.5009 -0.4207 -0.3554 -0.2080 -0.1211 -0.0476  0.0064
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  r   
 -6.2451 -5.7925 -5.3786 -5.0071 -4.7007 -4.3264 -3.7360 -2.9055 -2.1353 -1.5564
 -1.1678 -0.9086 -0.7297 -0.5969 -0.4912 -0.2917 -0.1489 -0.0445  0.0316
 -5.9496 -5.4551 -5.0037 -4.6019 -4.2437 -3.8695 -3.3292 -2.6457 -1.9986 -1.4852
 -1.1189 -0.8684 -0.6944 -0.5664 -0.4649 -0.2747 -0.1395 -0.0431  0.0253  0.0727
 -5.7621 -5.2388 -4.7512 -4.3090 -3.9131 -3.5315 -3.0565 -2.4815 -1.9266 -1.4614
 -1.1098 -0.8589 -0.6827 -0.5543 -0.4542 -0.2686 -0.1380 -0.0458  0.0184  0.0627
  0.0915
 -5.5475 -5.0380 -4.5484 -4.0880 -3.6613 -3.2626 -2.8432 -2.3543 -1.8730 -1.4527
 -1.1171 -0.8660 -0.6845 -0.5527 -0.4517 -0.2685 -0.1405 -0.0504  0.0113  0.0534
  0.0806  0.0972
 -5.0523 -4.6127 -4.2149 -3.8271 -3.4367 -3.0442 -2.6527 -2.2359 -1.8187 -1.4417
 -1.1268 -0.8794 -0.6938 -0.5569 -0.4535 -0.2708 -0.1445 -0.0556  0.0048  0.0452
  0.0709  0.0861  0.0946  0.0980
 -4.6452 -4.1119 -3.6748 -3.3175 -3.0105 -2.7225 -2.4192 -2.0845 -1.7397 -1.4138
 -1.1278 -0.8914 -0.7053 -0.5642 -0.4572 -0.2733 -0.1484 -0.0601 -0.0004  0.0387
  0.0631  0.0765  0.0832  0.0854  0.0839  0.0785  0.0679  0.0505  0.0263  0.0010
 -4.4856 -3.8721 -3.3510 -2.9258 -2.5804 -2.2873 -2.0236 -1.7746 -1.5368 -1.3091
 -1.0895 -0.8869 -0.7131 -0.5718 -0.4615 -0.2749 -0.1509 -0.0633 -0.0038  0.0345
  0.0575  0.0692  0.0734  0.0733  0.0703  0.0645  0.0556  0.0422  0.0226 -0.0042
 -0.0328
 -4.4781 -3.8157 -3.2298 -2.7395 -2.3437 -2.0230 -1.7530 -1.5137 -1.2964 -1.1066
 -0.9489 -0.8146 -0.6898 -0.5710 -0.4649 -0.2751 -0.1514 -0.0643 -0.0048  0.0331
  0.0548  0.0647  0.0661  0.0628  0.0572  0.0497  0.0400  0.0279  0.0123 -0.0093
 -0.0388
 -4.5128 -3.8348 -3.2149 -2.6787 -2.2380 -1.8852 -1.6016 -1.3659 -1.1628 -0.9851
 -0.8329 -0.7082 -0.6090 -0.5256 -0.4474 -0.2720 -0.1484 -0.0620 -0.0027  0.0349
  0.0557  0.0637  0.0623  0.0553  0.0459  0.0354  0.0237  0.0108 -0.0041 -0.0221
 -0.0457
 -4.5216 -3.8717 -3.2464 -2.6902 -2.2198 -1.8392 -1.5368 -1.2944 -1.0953 -0.9271
 -0.7829 -0.6600 -0.5578 -0.4747 -0.4066 -0.2640 -0.1443 -0.0582  0.0011  0.0390
  0.0596  0.0664  0.0627  0.0522  0.0385  0.0239  0.0089 -0.0063 -0.0223 -0.0398
 -0.0600
 -4.4826 -3.8658 -3.2731 -2.7193 -2.2414 -1.8452 -1.5260 -1.2723 -1.0687 -0.9014
 -0.7608 -0.6408 -0.5385 -0.4519 -0.3795 -0.2439 -0.1362 -0.0518  0.0073  0.0455
  0.0663  0.0727  0.0676  0.0542  0.0363  0.0171 -0.0023 -0.0213 -0.0400 -0.0591
 -0.0792
 -4.4062 -3.8234 -3.2632 -2.7427 -2.2757 -1.8791 -1.5518 -1.2876 -1.0749 -0.9023
 -0.7593 -0.6385 -0.5350 -0.4462 -0.3661 -0.2117 -0.1241 -0.0428  0.0159
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  r   
