 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -3.2098 -2.9636 -2.7406 -2.5348 -2.3455 -1.9469 -1.6315 -1.3690 -1.1412 -0.9389
 -0.7601 -0.6066 -0.4734
 -5.3882 -5.1909 -5.0047 -4.8241 -4.6427 -4.4502 -4.2289 -3.9463 -3.6401 -3.3526
 -3.0973 -2.8697 -2.6598 -2.4616 -2.2753 -1.8782 -1.5684 -1.3169 -1.1033 -0.9167
 -0.7522 -0.6093 -0.4856 -0.3769 -0.2793
 -5.2288 -4.9767 -4.7525 -4.5459 -4.3490 -4.1566 -3.9595 -3.7344 -3.4812 -3.2325
 -3.0040 -2.7961 -2.6018 -2.4146 -2.2337 -1.8370 -1.5283 -1.2833 -1.0794 -0.9042
 -0.7513 -0.6183 -0.5033 -0.4025 -0.3126 -0.2308
 -5.2097 -4.8669 -4.5784 -4.3358 -4.1256 -3.9310 -3.7421 -3.5503 -3.3403 -3.1260
 -2.9223 -2.7335 -2.5557 -2.3825 -2.2106 -1.8156 -1.5047 -1.2629 -1.0655 -0.8986
 -0.7551 -0.6308 -0.5235 -0.4297 -0.3460 -0.2704 -0.2007 -0.1352 -0.0768 -0.0393
 -5.2931 -4.8833 -4.5235 -4.2158 -3.9551 -3.7326 -3.5418 -3.3745 -3.2102 -3.0351
 -2.8558 -2.6819 -2.5169 -2.3573 -2.1975 -1.8095 -1.4940 -1.2518 -1.0586 -0.8977
 -0.7614 -0.6447 -0.5445 -0.4576 -0.3803 -0.3103 -0.2469 -0.1882 -0.1336 -0.0862
 -0.0577
 -5.4524 -4.9861 -4.5732 -4.2133 -3.9054 -3.6447 -3.4236 -3.2343 -3.0692 -2.9204
