 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
  0.2111  0.2120  0.2057  0.1962  0.1851  0.1728  0.1588  0.1428  0.1229  0.0991
  0.0679
 -2.5717 -2.2816 -1.9924 -1.7130 -1.4560 -1.2298 -1.0347 -0.8652 -0.7151 -0.5801
 -0.4602 -0.3582 -0.2762 -0.2107 -0.1538 -0.0291  0.0654  0.1311  0.1748  0.2006
  0.2113  0.2103  0.2010  0.1876  0.1730  0.1580  0.1423  0.1259  0.1078  0.0868
  0.0609
 -2.5885 -2.3086 -2.0208 -1.7347 -1.4629 -1.2176 -1.0049 -0.8240 -0.6696 -0.5364
 -0.4205 -0.3204 -0.2358 -0.1666 -0.1113 -0.0096  0.0739  0.1374  0.1800  0.2052
  0.2153  0.2130  0.2012  0.1840  0.1650  0.1462  0.1274  0.1090  0.0901  0.0699
  0.0473
 -2.5856 -2.3156 -2.0383 -1.7570 -1.4835 -1.2302 -1.0069 -0.8159 -0.6549 -0.5189
 -0.4031 -0.3038 -0.2190 -0.1473 -0.0875  0.0174  0.0903  0.1474  0.1881  0.2127
  0.2226  0.2197  0.2064  0.1860  0.1627  0.1391  0.1161  0.0942  0.0728  0.0513
  0.0292
 -2.5715 -2.3047 -2.0357 -1.7665 -1.4994 -1.2485 -1.0229 -0.8266 -0.6603 -0.5204
 -0.4022 -0.3015 -0.2152 -0.1413 -0.0824  0.0519  0.1146  0.1611  0.1991
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  R   
 -3.9535 -3.8114 -3.6667 -3.5125 -3.4102 -3.2138 -2.8393 -2.3076 -1.7981 -1.2467
 -0.8964 -0.6537 -0.4827 -0.3553 -0.2535 -0.0629
 -3.6307 -3.4729 -3.3221 -3.1721 -3.0371 -2.8508 -2.5378 -2.0754 -1.5824 -1.1521
 -0.8274 -0.5971 -0.4346 -0.3152 -0.2210 -0.0449  0.0822  0.1746  0.2389
 -3.3772 -3.2031 -3.0420 -2.8885 -2.7347 -2.5580 -2.2948 -1.8979 -1.4744 -1.0920
 -0.7886 -0.5658 -0.4066 -0.2906 -0.2006 -0.0345  0.0843  0.1692  0.2271  0.2633
  0.2836
 -3.1930 -3.0020 -2.8264 -2.6617 -2.5029 -2.3355 -2.1103 -1.7751 -1.4094 -1.0664
 -0.7800 -0.5598 -0.3987 -0.2815 -0.1923 -0.0317  0.0815  0.1618  0.2161  0.2503
  0.2691  0.2773  0.2769
 -3.0540 -2.8510 -2.6627 -2.4849 -2.3141 -2.1442 -1.9516 -1.6731 -1.3572 -1.0507
 -0.7826 -0.5665 -0.4021 -0.2811 -0.1904 -0.0325  0.0768  0.1542  0.2060  0.2387
  0.2567  0.2643  0.2656  0.2607  0.2490
 -2.8825 -2.6957 -2.5162 -2.3397 -2.1622 -1.9852 -1.8016 -1.5751 -1.3047 -1.0327
 -0.7853 -0.5767 -0.4112 -0.2857 -0.1919 -0.0342  0.0722  0.1474  0.1975  0.2288
  0.2459  0.2527  0.2528  0.2482  0.2390  0.2249
 -2.7001 -2.4783 -2.2922 -2.1324 -1.9846 -1.8312 -1.6591 -1.4669 -1.2415 -1.0050
 -0.7811 -0.5844 -0.4213 -0.2929 -0.1952 -0.0353  0.0688  0.1421  0.1909  0.2209
  0.2370  0.2426  0.2414  0.2361  0.2273  0.2154  0.1986  0.1752  0.1457  0.1156
 -2.6260 -2.3611 -2.1246 -1.9221 -1.7483 -1.5926 -1.4442 -1.2900 -1.1194 -0.9367
