 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  V   
 -0.1428 -0.0959 -0.0565 -0.0228  0.0065  0.0299
 -4.8240 -4.3472 -3.9471 -3.6053 -3.3002 -3.0138 -2.7295 -2.4430 -2.1500 -1.8696
 -1.6207 -1.4089 -1.2322 -1.0845 -0.9584 -0.7048 -0.5162 -0.3795 -0.2810 -0.2081
 -0.1530 -0.1099 -0.0742 -0.0433 -0.0162  0.0072  0.0257  0.0375  0.0404  0.0374
 -4.7022 -4.1590 -3.6938 -3.3031 -2.9743 -2.6893 -2.4346 -2.2026 -1.9824 -1.7731
 -1.5744 -1.3909 -1.2274 -1.0861 -0.9632 -0.7132 -0.5230 -0.3839 -0.2848 -0.2134
 -0.1611 -0.1217 -0.0903 -0.0632 -0.0390 -0.0173  0.0013  0.0155  0.0235  0.0220
  0.0138
 -4.7182 -4.1282 -3.6101 -3.1695 -2.8012 -2.4942 -2.2332 -2.0052 -1.8003 -1.6167
 -1.4589 -1.3233 -1.1986 -1.0788 -0.9653 -0.7223 -0.5316 -0.3894 -0.2881 -0.2167
 -0.1663 -0.1303 -0.1033 -0.0809 -0.0608 -0.0422 -0.0257 -0.0116 -0.0019  0.0034
 -0.0011
 -4.7867 -4.1749 -3.6231 -3.1426 -2.7372 -2.4019 -2.1251 -1.8930 -1.6942 -1.5207
 -1.3689 -1.2390 -1.1300 -1.0356 -0.9460 -0.7278 -0.5390 -0.3943 -0.2899 -0.2173
 -0.1678 -0.1342 -0.1114 -0.0942 -0.0793 -0.0653 -0.0522 -0.0401 -0.0300 -0.0232
 -0.0222
 -4.8519 -4.2502 -3.6868 -3.1839 -2.7509 -2.3889 -2.0915 -1.8476 -1.6451 -1.4741
 -1.3273 -1.2002 -1.0900 -0.9947 -0.9114 -0.7253 -0.5481 -0.4017 -0.2935 -0.2179
 -0.1674 -0.1348 -0.1150 -0.1026 -0.0933 -0.0848 -0.0765 -0.0682 -0.0605 -0.0544
 -0.0511
 -4.8737 -4.2951 -3.7518 -3.2469 -2.8014 -2.4213 -2.1058 -1.8472 -1.6350 -1.4592
 -1.3110 -1.1841 -1.0739 -0.9769 -0.8908 -0.7111 -0.5515 -0.4094 -0.2980 -0.2185
 -0.1654 -0.1323 -0.1138 -0.1049 -0.1008 -0.0983 -0.0958 -0.0927 -0.0892 -0.0859
 -0.0836
 -4.8542 -4.3176 -3.7974 -3.3112 -2.8670 -2.4800 -2.1524 -1.8801 -1.6561 -1.4711
 -1.3166 -1.1854 -1.0722 -0.9731 -0.8842 -0.6852 -0.5492 -0.4174 -0.3034
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  V   
 -6.9160 -6.6189 -6.3427 -6.0810 -5.9193 -5.6069 -4.9794 -4.0333 -3.2313 -2.4490
 -1.9980 -1.6879 -1.4621 -1.2851 -1.1373 -0.8476
