 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  1.8244  1.7841  1.7428  1.7020  1.6561  1.5798  1.5081  1.4297  1.3521
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  J   
  2.1193  2.0727  2.0332  1.9995  1.9691  1.9411  1.9138  1.8880  1.8543  1.8178
  1.7814  1.7477  1.7181  1.6928  1.6710  1.6216  1.5680  1.5045  1.4299
  2.1708  2.1185  2.0681  2.0211  1.9790  1.9424  1.9108  1.8815  1.8475  1.8097
  1.7713  1.7349  1.7025  1.6746  1.6508  1.5989  1.5439  1.4804  1.4086  1.3298
  2.2203  2.1661  2.1118  2.0593  2.0099  1.9648  1.9241  1.8873  1.8505  1.8111
  1.7708  1.7319  1.6964  1.6654  1.6389  1.5834  1.5273  1.4635  1.3919  1.3144
  1.2318
  2.2632  2.2104  2.1552  2.0999  2.0459  1.9947  1.9468  1.9027  1.8611  1.8193
  1.7770  1.7357  1.6972  1.6629  1.6332  1.5729  1.5155  1.4513  1.3798  1.3028
  1.2216  1.1371
  2.2973  2.2479  2.1944  2.1388  2.0829  2.0281  1.9753  1.9252  1.8781  1.8328
  1.7882  1.7447  1.7035  1.6658  1.6327  1.5663  1.5070  1.4424  1.3710  1.2942
  1.2138  1.1307  1.0454  0.9583
  2.3176  2.2758  2.2267  2.1733  2.1177  2.0617  2.0063  1.9525  1.9006  1.8512
  1.8037  1.7577  1.7140  1.6733  1.6368  1.5632  1.5011  1.4359  1.3645  1.2879
  1.2079  1.1255  1.0415  0.9561  0.8697  0.7824  0.6937  0.6031  0.5137  0.4274
  2.2846  2.2714  2.2417  2.1989  2.1479  2.0929  2.0369  1.9813  1.9267  1.8736
  1.8229  1.7743  1.7281  1.6847  1.6450  1.5636  1.4977  1.4313  1.3598  1.2834
  1.2035  1.1215  1.0382  0.9538  0.8687  0.7833  0.6972  0.6098  0.5213  0.4338
  0.3494
  2.2124  2.2078  2.1985  2.1792  2.1493  2.1097  2.0622  2.0090  1.9538  1.8989
  1.8453  1.7940  1.7453  1.6993  1.6568  1.5675  1.4967  1.4287  1.3566  1.2803
  1.2005  1.1186  1.0356  0.9518  0.8674  0.7828  0.6980  0.6130  0.5276  0.4411
  0.3553
  2.1765  2.1636  2.1486  2.1323  2.1116  2.0847  2.0517  2.0124  1.9677  1.9186
  1.8665  1.8145  1.7642  1.7162  1.6711  1.5745  1.4981  1.4276  1.3545  1.2777
  1.1978  1.1157  1.0325  0.9487  0.8645  0.7803  0.6961  0.6122  0.5285  0.4444
  0.3597
  2.1735  2.1500  2.1267  2.1036  2.0801  2.0547  2.0259  1.9934  1.9571  1.9168
  1.8722  1.8244  1.7772  1.7313  1.6870  1.5857  1.5031  1.4296  1.3552  1.2779
  1.1978  1.1156  1.0321  0.9482  0.8641  0.7799  0.6958  0.6124  0.5295  0.4469
  0.3647
  2.1790  2.1525  2.1239  2.0945  2.0652  2.0359  2.0060  1.9744  1.9405  1.9041
  1.8641  1.8212  1.7768  1.7330  1.6915  1.5969  1.5110  1.4339  1.3579  1.2797
  1.1993  1.1168  1.0331  0.9488  0.8644  0.7800  0.6957  0.6121  0.5295  0.4476
  0.3703
  2.1842  2.1576  2.1282  2.0962  2.0631  2.0296  1.9960  1.9624  1.9280  1.8923
  1.8548  1.8149  1.7732  1.7311  1.6846  1.6081  1.5218  1.4405  1.3626
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  J   
  2.0711  2.0299  2.0047  1.9895  1.9785  1.9667  1.9504  1.9264  1.8935  1.8561
  1.8176  1.7805  1.7468  1.7172  1.6913  1.6354  1.5788  1.5142  1.4391
  2.1325  2.0838  2.0418  2.0060  1.9762  1.9520  1.9331  1.9151  1.8846  1.8476
  1.8080  1.7688  1.7326  1.7004  1.6726  1.6139  1.5563  1.4918  1.4195  1.3410
  2.1932  2.1408  2.0905  2.0442  2.0033  1.9684  1.9393  1.9143  1.8845  1.8478
