 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -0.2586 -0.1949 -0.1353 -0.0798 -0.0280  0.0872  0.1793  0.2501  0.3028
 -1.5616 -1.3278 -1.1154 -0.9376 -0.7887 -0.6542 -0.5451 -0.4569 -0.3769 -0.3072
 -0.2420 -0.1809 -0.1239 -0.0707 -0.0205  0.0904  0.1807  0.2488  0.2913  0.3075
 -1.3913 -1.3518 -1.1356 -0.9494 -0.7894 -0.6505 -0.5345 -0.4418 -0.3625 -0.2916
 -0.2285 -0.1700 -0.1156 -0.0647 -0.0168  0.0900  0.1774  0.2424  0.2816  0.2956
  0.2891
 -1.2493 -1.2652 -1.1530 -0.9696 -0.7984 -0.6550 -0.5317 -0.4314 -0.3496 -0.2779
 -0.2161 -0.1599 -0.1079 -0.0594 -0.0138  0.0884  0.1731  0.2361  0.2734  0.2865
  0.2805  0.2610
 -1.1518 -1.0308 -1.0344 -0.9674 -0.8132 -0.6628 -0.5347 -0.4273 -0.3398 -0.2671
 -0.2040 -0.1494 -0.0995 -0.0534 -0.0101  0.0871  0.1688  0.2303  0.2666  0.2792
  0.2737  0.2554  0.2281  0.1947
 -1.1434 -0.9645 -0.8423 -0.8104 -0.7892 -0.6720 -0.5424 -0.4297 -0.3351 -0.2578
 -0.1929 -0.1382 -0.0899 -0.0457 -0.0046  0.0873  0.1655  0.2253  0.2611  0.2736
  0.2685  0.2510  0.2247  0.1925  0.1564  0.1152  0.0681  0.0161 -0.0385 -0.0922
 -1.1608 -0.9609 -0.8007 -0.6818 -0.6177 -0.5995 -0.5400 -0.4351 -0.3365 -0.2529
 -0.1842 -0.1270 -0.0790 -0.0362  0.0031  0.0899  0.1640  0.2216  0.2569  0.2696
  0.2648  0.2478  0.2221  0.1904  0.1549  0.1162  0.0733  0.0252 -0.0281 -0.0834
 -0.1378
 -1.2002 -0.9782 -0.8009 -0.6578 -0.5455 -0.4672 -0.4233 -0.3929 -0.3338 -0.2528
 -0.1791 -0.1182 -0.0677 -0.0253  0.0127  0.0952  0.1649  0.2198  0.2542  0.2672
