 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
-10.6212 -9.3123 -8.1166 -7.0239 -6.1299 -5.4537 -4.9613 -4.6060 -4.3445 -4.1402
 -3.9706 -3.8243 -3.6887 -3.5330 -3.3623 -2.8918 -2.4228 -1.9873 -1.5950 -1.2468
 -0.9360 -0.6591 -0.4188 -0.2210 -0.0689  0.0439  0.1283  0.1936  0.2459  0.2882
  0.3224
-10.8224 -9.7886 -8.7259 -7.6386 -6.6568 -5.8471 -5.2175 -4.7439 -4.3900 -4.1208
 -3.9060 -3.7247 -3.5661 -3.4230 -3.2808 -2.9230 -2.4930 -2.0516 -1.6524 -1.2996
 -0.9862 -0.7076 -0.4660 -0.2664 -0.1116  0.0024  0.0849  0.1458  0.1923  0.2282
  0.2572
-10.7416-10.1085 -9.1744 -8.1987 -7.2248 -6.3491 -5.6109 -5.0222 -4.5656 -4.2132
 -3.9382 -3.7162 -3.5279 -3.3618 -3.0853 -2.9265 -2.5813 -2.1353 -1.7275
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F390M
-10.5458 -9.3233 -8.2936 -7.4381 -6.7236 -6.2401 -5.9198 -5.6808 -5.4675 -5.2917
 -5.1162 -4.9411 -4.7674 -4.5956 -4.4250 -3.9973 -3.5512 -3.0862 -2.6065
 -9.7228 -9.0406 -8.2360 -7.3571 -6.6012 -6.0272 -5.6468 -5.3786 -5.1518 -4.9649
 -4.7835 -4.6055 -4.4305 -4.2576 -4.0855 -3.6579 -3.2263 -2.7825 -2.3202 -1.8378
 -8.7311 -8.5434 -8.0379 -7.3753 -6.6146 -5.9486 -5.4769 -5.1566 -4.9079 -4.7047
 -4.5173 -4.3366 -4.1607 -3.9879 -3.8169 -3.3937 -2.9694 -2.5395 -2.1034 -1.6664
 -1.2387
 -8.0862 -7.8979 -7.6164 -7.2334 -6.6745 -6.0102 -5.4339 -5.0303 -4.7422 -4.5128
 -4.3167 -4.1310 -3.9525 -3.7788 -3.6080 -3.1892 -2.7729 -2.3559 -1.9411 -1.5364
 -1.1474 -0.7809
