 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.7971 -3.2478 -2.8050 -2.4612 -2.1980 -1.9981 -1.8422 -1.7165 -1.5993 -1.4543
 -1.2947 -1.1548 -1.0341 -0.9241 -0.8221 -0.6049 -0.4374 -0.3086 -0.2086 -0.1303
 -0.0691 -0.0222  0.0135  0.0414  0.0646  0.0842  0.1002  0.1127  0.1203  0.1211
  0.1137
 -4.0509 -3.4557 -2.9623 -2.5608 -2.2460 -2.0021 -1.8111 -1.6545 -1.5200 -1.4021
 -1.2904 -1.1708 -1.0493 -0.9396 -0.8379 -0.6186 -0.4466 -0.3133 -0.2102 -0.1308
 -0.0702 -0.0249  0.0081  0.0323  0.0511  0.0666  0.0793  0.0893  0.0965  0.0991
  0.0955
 -4.2974 -3.6935 -3.1721 -2.7253 -2.3577 -2.0663 -1.8380 -1.6559 -1.5042 -1.3713
 -1.2525 -1.1458 -1.0461 -0.9497 -0.8551 -0.6370 -0.4609 -0.3226 -0.2150 -0.1328
 -0.0713 -0.0265  0.0048  0.0260  0.0406  0.0515  0.0598  0.0663  0.0707  0.0728
  0.0713
 -4.5253 -3.9315 -3.4024 -2.9320 -2.5250 -2.1867 -1.9146 -1.6985 -1.5241 -1.3780
 -1.2501 -1.1355 -1.0322 -0.9389 -0.8541 -0.6547 -0.4775 -0.3346 -0.2221 -0.1357
 -0.0718 -0.0262  0.0045  0.0236  0.0346  0.0409  0.0443  0.0462  0.0469  0.0461
  0.0445
 -4.7347 -4.1697 -3.6286 -3.1546 -2.7273 -2.3566 -2.0432 -1.7870 -1.5805 -1.4119
 -1.2706 -1.1481 -1.0388 -0.9405 -0.8349 -0.6717 -0.4964 -0.3493 -0.2315
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F555W
 -3.8099 -3.3689 -3.0086 -2.7211 -2.4465 -2.2022 -1.9868 -1.7933 -1.6157 -1.4657
 -1.3244 -1.1928 -1.0717 -0.9615 -0.8615 -0.6514 -0.4808 -0.3410 -0.2279
 -3.8688 -3.4003 -3.0045 -2.6807 -2.4070 -2.1575 -1.9399 -1.7461 -1.5683 -1.4172
 -1.2762 -1.1454 -1.0251 -0.9157 -0.8166 -0.6115 -0.4529 -0.3235 -0.2129 -0.1156
 -3.6287 -3.4554 -3.0444 -2.6960 -2.4009 -2.1423 -1.9176 -1.7223 -1.5451 -1.3921
 -1.2517 -1.1216 -1.0018 -0.8924 -0.7933 -0.5890 -0.4334 -0.3087 -0.2036 -0.1128
 -0.0351
 -3.4399 -3.3706 -3.1012 -2.7460 -2.4261 -2.1549 -1.9179 -1.7155 -1.5387 -1.3817
