 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -0.1065 -0.0626 -0.0271  0.0030  0.0290  0.0500  0.0648  0.0724  0.0722  0.0663
 -3.3847 -2.9520 -2.6050 -2.3299 -2.1152 -1.9491 -1.8225 -1.7150 -1.5718 -1.4033
 -1.2530 -1.1250 -1.0095 -0.9033 -0.8060 -0.6025 -0.4473 -0.3283 -0.2365 -0.1656
 -0.1114 -0.0704 -0.0385 -0.0120  0.0108  0.0300  0.0455  0.0557  0.0590  0.0540
  0.0429
 -3.5428 -3.0741 -2.6830 -2.3678 -2.1161 -1.9141 -1.7494 -1.6103 -1.4936 -1.3874
 -1.2670 -1.1371 -1.0211 -0.9155 -0.8183 -0.6131 -0.4544 -0.3319 -0.2383 -0.1675
 -0.1145 -0.0760 -0.0476 -0.0253 -0.0064  0.0100  0.0233  0.0341  0.0403  0.0393
  0.0296
 -3.7229 -3.2322 -2.8065 -2.4499 -2.1609 -1.9288 -1.7404 -1.5826 -1.4450 -1.3239
 -1.2181 -1.1212 -1.0235 -0.9255 -0.8301 -0.6240 -0.4625 -0.3361 -0.2396 -0.1675
 -0.1151 -0.0782 -0.0530 -0.0351 -0.0208 -0.0086  0.0017  0.0106  0.0166  0.0180
  0.0138
 -3.9201 -3.4170 -2.9714 -2.5827 -2.2548 -1.9876 -1.7716 -1.5943 -1.4445 -1.3129
 -1.1953 -1.0907 -0.9980 -0.9148 -0.8338 -0.6381 -0.4744 -0.3442 -0.2434 -0.1686
 -0.1150 -0.0786 -0.0554 -0.0411 -0.0317 -0.0245 -0.0186 -0.0136 -0.0100 -0.0072
 -0.0098
 -4.1247 -3.6117 -3.1559 -2.7491 -2.3923 -2.0898 -1.8405 -1.6372 -1.4691 -1.3264
 -1.2015 -1.0900 -0.9901 -0.9015 -0.8225 -0.6467 -0.4873 -0.3542 -0.2491 -0.1702
 -0.1142 -0.0768 -0.0543 -0.0426 -0.0375 -0.0354 -0.0346 -0.0343 -0.0344 -0.0353
 -0.0362
 -4.3383 -3.8078 -3.3468 -2.9322 -2.5599 -2.2318 -1.9508 -1.7163 -1.5229 -1.3618
 -1.2250 -1.1061 -1.0006 -0.9065 -0.8223 -0.6465 -0.4980 -0.3658 -0.2569
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.7611 -3.3215 -2.9681 -2.6805 -2.4163 -2.1750 -1.9708 -1.7823 -1.6103 -1.4610
 -1.3204 -1.1890 -1.0686 -0.9590 -0.8604 -0.6544 -0.4883 -0.3537 -0.2461
 -3.6890 -3.3450 -2.9626 -2.6440 -2.3729 -2.1270 -1.9197 -1.7303 -1.5596 -1.4098
 -1.2698 -1.1398 -1.0205 -0.9123 -0.8149 -0.6152 -0.4620 -0.3382 -0.2340 -0.1445
 -3.5350 -3.3516 -2.9971 -2.6555 -2.3642 -2.1102 -1.8917 -1.7024 -1.5329 -1.3824
 -1.2439 -1.1152 -0.9968 -0.8890 -0.7920 -0.5938 -0.4443 -0.3255 -0.2270 -0.1440
 -0.0751
 -3.3273 -3.1079 -2.9939 -2.6935 -2.3869 -2.1207 -1.8897 -1.6927 -1.5217 -1.3700
 -1.2328 -1.1055 -0.9879 -0.8804 -0.7831 -0.5840 -0.4350 -0.3187 -0.2239 -0.1451
 -0.0805 -0.0283
 -3.2068 -2.8901 -2.7282 -2.6548 -2.4230 -2.1504 -1.9087 -1.7003 -1.5223 -1.3678
 -1.2308 -1.1048 -0.9882 -0.8810 -0.7834 -0.5822 -0.4317 -0.3160 -0.2233 -0.1475
 -0.0862 -0.0371  0.0025  0.0363
 -3.2771 -2.8843 -2.5948 -2.4073 -2.3139 -2.1740 -1.9428 -1.7245 -1.5357 -1.3747
 -1.2346 -1.1096 -0.9940 -0.8873 -0.7897 -0.5861 -0.4328 -0.3160 -0.2241 -0.1505
 -0.0916 -0.0454 -0.0086  0.0217  0.0471  0.0677  0.0817  0.0876  0.0865  0.0796
 -3.4177 -2.9598 -2.6075 -2.3400 -2.1457 -2.0137 -1.9114 -1.7551 -1.5642 -1.3920
 -1.2453 -1.1182 -1.0034 -0.8974 -0.7999 -0.5943 -0.4377 -0.3183 -0.2259 -0.1532
 -0.0963 -0.0523 -0.0186  0.0086  0.0314  0.0501  0.0645  0.0733  0.0749  0.0689
  0.0569
 -3.6179 -3.1020 -2.6898 -2.3692 -2.1213 -1.9311 -1.7823 -1.6633 -1.5533 -1.4170
 -1.2656 -1.1314 -1.0156 -0.9103 -0.8129 -0.6058 -0.4459 -0.3230 -0.2285 -0.1556
 -0.0997 -0.0577 -0.0266 -0.0029  0.0164  0.0323  0.0449  0.0541  0.0583  0.0557
  0.0449
 -3.8568 -3.2944 -2.8307 -2.4561 -2.1617 -1.9316 -1.7498 -1.5999 -1.4717 -1.3600
 -1.2552 -1.1429 -1.0277 -0.9230 -0.8262 -0.6182 -0.4553 -0.3287 -0.2310 -0.1568
 -0.1011 -0.0604 -0.0317 -0.0114  0.0038  0.0160  0.0256  0.0327  0.0371  0.0369
  0.0305
 -4.1036 -3.5227 -3.0259 -2.6051 -2.2611 -1.9881 -1.7726 -1.5992 -1.4539 -1.3267
 -1.2135 -1.1126 -1.0190 -0.9286 -0.8397 -0.6344 -0.4690 -0.3385 -0.2367 -0.1594
 -0.1025 -0.0620 -0.0347 -0.0172 -0.0059  0.0020  0.0076  0.0114  0.0135  0.0132
  0.0094
 -4.3428 -3.7604 -3.2480 -2.7990 -2.4147 -2.0969 -1.8414 -1.6373 -1.4714 -1.3315
 -1.2091 -1.0996 -1.0014 -0.9135 -0.8339 -0.6485 -0.4841 -0.3505 -0.2444 -0.1631
 -0.1035 -0.0620 -0.0350 -0.0193 -0.0113 -0.0078 -0.0069 -0.0073 -0.0087 -0.0114
 -0.0145
 -4.5746 -4.0075 -3.4759 -3.0159 -2.6067 -2.2550 -1.9594 -1.7182 -1.5231 -1.3628
 -1.2279 -1.1106 -1.0062 -0.9127 -0.8088 -0.6605 -0.5006 -0.3647 -0.2541
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  V   
 -3.6503 -3.2417 -2.9065 -2.6375 -2.3774 -2.1450 -1.9402 -1.7562 -1.5865 -1.4409
 -1.3028 -1.1737 -1.0546 -0.9461 -0.8477 -0.6410 -0.4749 -0.3413 -0.2355
 -3.7146 -3.2742 -2.9036 -2.6000 -2.3415 -2.1036 -1.8961 -1.7117 -1.5420 -1.3956
 -1.2580 -1.1299 -1.0119 -0.9043 -0.8068 -0.6053 -0.4506 -0.3270 -0.2238 -0.1349
 -3.4928 -3.3301 -2.9416 -2.6131 -2.3351 -2.0893 -1.8746 -1.6884 -1.5195 -1.3717
