 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -4.9973 -4.7561 -4.5277 -4.3084 -4.0949 -3.5743 -3.0596 -2.5597 -2.1010 -1.7011
 -1.3633 -1.0913
 -8.6217 -7.8932 -7.5794 -7.4903 -7.3228 -7.0506 -6.5987 -6.0218 -5.5380 -5.1817
 -4.8978 -4.6442 -4.4065 -4.1810 -3.9639 -3.4439 -2.9380 -2.4494 -2.0023 -1.6157
 -1.2920 -1.0304 -0.8327 -0.6877
 -8.8404 -7.8582 -7.2293 -6.9015 -6.7899 -6.6965 -6.4867 -6.1198 -5.6262 -5.1891
 -4.8575 -4.5871 -4.3391 -4.1057 -3.8829 -3.3577 -2.8561 -2.3752 -1.9353 -1.5554
 -1.2389 -0.9826 -0.7864 -0.6450 -0.5429 -0.4645 -0.4006 -0.3446 -0.2915 -0.2402
 -9.3153 -8.1194 -7.2564 -6.6901 -6.3530 -6.1810 -6.0934 -5.9600 -5.6895 -5.2888
 -4.8883 -4.5783 -4.3178 -4.0760 -3.8471 -3.3132 -2.8115 -2.3343 -1.8976 -1.5189
 -1.2033 -0.9473 -0.7492 -0.6056 -0.5052 -0.4332 -0.3780 -0.3331 -0.2938 -0.2564
 -0.2183
 -9.9398 -8.6205 -7.5492 -6.7719 -6.2446 -5.9017 -5.6827 -5.5409 -5.4265 -5.2596
 -4.9793 -4.6264 -4.3349 -4.0842 -3.8490 -3.3060 -2.8017 -2.3250 -1.8881 -1.5064
 -1.1861 -0.9257 -0.7217 -0.5720 -0.4687 -0.3983 -0.3486 -0.3108 -0.2807 -0.2551
 -0.2307
-10.7091 -9.2506 -8.0505 -7.0836 -6.3693 -5.8678 -5.5219 -5.2762 -5.0899 -4.9387
 -4.7979 -4.6254 -4.3750 -4.1157 -3.8758 -3.3259 -2.8181 -2.3402 -1.9006 -1.5131
 -1.1849 -0.9154 -0.7025 -0.5437 -0.4336 -0.3609 -0.3132 -0.2807 -0.2569 -0.2387
 -0.2241
-11.2982 -9.9100 -8.6808 -7.5957 -6.7140 -6.0450 -5.5590 -5.2084 -4.9468 -4.7365
 -4.5565 -4.3975 -4.2485 -4.0783 -3.8897 -3.3729 -2.8643 -2.3869 -1.9452 -1.5507
 -1.2109 -0.9282 -0.7018 -0.5293 -0.4071 -0.3265 -0.2759 -0.2445 -0.2248 -0.2121
 -0.2036
-11.7314-10.4908 -9.3163 -8.2026 -7.2195 -6.4103 -5.7784 -5.3029 -4.9475 -4.6743
 -4.4512 -4.2575 -4.0843 -3.9276 -3.7740 -3.3867 -2.9257 -2.4505 -2.0091 -1.6093
 -1.2583 -0.9609 -0.7184 -0.5294 -0.3911 -0.2976 -0.2390 -0.2044 -0.1853 -0.1756
 -0.1712
-12.0088-10.9930 -9.8686 -8.8024 -7.7935 -6.9062 -6.1581 -5.5588 -5.0927 -4.7326
 -4.4498 -4.2177 -4.0165 -3.8363 -3.5287 -3.3673 -3.0023 -2.5310 -2.0923
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  U   
-11.4904-10.4264 -9.4140 -8.4491 -7.5814 -6.9936 -6.6121 -6.3375 -6.1034 -5.9045
 -5.7074 -5.5116 -5.3171 -5.1230 -4.9279 -4.4257 -3.9076 -3.3785 -2.8413
-10.6361-10.0009 -9.2958 -8.4219 -7.5442 -6.8441 -6.3856 -6.0702 -5.8149 -5.6022
 -5.3980 -5.1993 -5.0042 -4.8105 -4.6157 -4.1193 -3.6065 -3.0914 -2.5974 -2.1391
